what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1519047523914
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1519047523915
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1519047523915
started,bundle,com.collabnet.subversion.merge,4.0.2,"com.collabnet.subversion.merge",1519047523916
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1519047523916
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1519047523919
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1519047523920
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1519047523920
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1519047523921
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1519047523922
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1519047523922
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1519047523923
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1519047523924
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1519047523925
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1519047523925
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1519047523926
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1519047523926
started,bundle,org.eclipse.emf.common,2.10.0.v20140514-1158,"org.eclipse.emf.common",1519047523927
started,bundle,org.eclipse.emf.common.ui,2.9.0.v20140519-0339,"org.eclipse.emf.common.ui",1519047523928
started,bundle,org.eclipse.emf.ecore,2.10.0.v20140514-1158,"org.eclipse.emf.ecore",1519047523928
started,bundle,org.eclipse.emf.ecore.xmi,2.10.0.v20140514-1158,"org.eclipse.emf.ecore.xmi",1519047523931
started,bundle,org.eclipse.emf.edit,2.10.0.v20140519-0339,"org.eclipse.emf.edit",1519047523932
started,bundle,org.eclipse.emf.edit.ui,2.10.0.v20140519-0339,"org.eclipse.emf.edit.ui",1519047523933
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1519047523933
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1519047523934
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1519047523935
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1519047523935
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1519047523936
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1519047523936
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1519047523937
